target_word,base_word,target_example,base_example
Hai,Hello,Hai!,Hello!
Selamat pagi,Good morning,Selamat pagi.,Good morning.
Selamat tengah hari,Good afternoon,Selamat tengah hari.,Good afternoon.
Selamat petang,Good evening,Selamat petang.,Good evening.
Selamat malam,Good night,Selamat malam.,Good night.
Selamat tinggal,Goodbye (to whom stay),Selamat tinggal.,Goodbye.
Selamat jalan,Goodbye (to whom leaving),Selamat jalan.,Goodbye.
Selamat datang,Welcome,Selamat datang.,Welcome.
Apa khabar?,How are you?,Apa khabar?,How are you?
Terima kasih,Thank you,Terima kasih.,Thank you.
Sama-sama,You’re welcome,Sama-sama.,You’re welcome.
Tolong,Please / Help,Tolong saya.,Please help me.
Sila,Please (formal),Sila masuk.,Please come in.
Maaf,Sorry,"Maaf, saya salah.","Sorry, I was wrong."
Tumpang tanya,Excuse me,"Tumpang tanya, ini betul?","Excuse me, is this correct?"
Ya,Yes,Ya.,Yes.
Tidak,No,Tidak.,No.
Saya,I / me,Saya lapar.,I am hungry.
Awak,You,Awak okay?,Are you okay?
Dia,He / She,Dia pelajar.,He is a student.
Kita,We (incl.),Kita pergi.,We are going.
Mereka,They,Mereka bekerja.,They are working.
Apa,What,Apa ini?,What is this?
Siapa,Who,Siapa dia?,Who is he?
Di mana,Where,Di mana awak?,Where are you?
Bila,When,Bila kita pergi?,When are we going?
Kenapa,Why,Kenapa lambat?,Why are you late?
Berapa,How much / how many,Berapa harga ini?,How much is this?
Ada,Have / there is,Ada masalah.,There is a problem.
Pergi,Go,Saya pergi sekarang.,I am going now.
Datang,Come,Datang sini.,Come here.
Mahu / Nak,Want,Saya nak air.,I want water.
Perlu,Need,Saya perlu bantuan.,I need help.
Makan,Eat,Saya makan nasi.,I eat rice.
Minum,Drink,Saya minum air.,I drink water.
Lihat,See,Lihat itu.,See that.
Buat,Do / make,Saya buat kerja.,I do work.
Hari ini,Today,Hari ini hujan.,It is raining today.
Esok,Tomorrow,Esok cuti.,Tomorrow is a holiday.
Semalam,Yesterday,Semalam sibuk.,Yesterday was busy.
Sekarang,Now,Sekarang juga.,Right now.
Nanti,Later,Jumpa nanti.,See you later.
Di sini,Here,Saya di sini.,I am here.
Di sana,There,Saya di sana.,I am there.
Dekat,Near,Kedai itu dekat.,That shop is near.
Jauh,Far,Rumahnya jauh.,His house is far.
Tolong!,Help!,Tolong!,Help!
Berapa harga ini?,How much is this?,Berapa harga ini?,How much is this?
Di mana tandas?,Where is the toilet?,Di mana tandas?,Where is the toilet?
Saya tidak faham.,I don’t understand,Saya tidak faham.,I don’t understand.
Awak boleh cakap Inggeris?,Do you speak English?,Awak boleh cakap Inggeris?,Do you speak English?
Baik,Good,Ini baik.,This is good.
Buruk,Bad,Cuaca buruk.,The weather is bad.
Besar,Big,Rumah itu besar.,That house is big.
Kecil,Small,Bilik ini kecil.,This room is small.
Panas,Hot,Hari ini panas.,Today is hot.
Sejuk,Cold,Air ini sejuk.,This water is cold.
Senang,Easy,Kerja ini senang.,This work is easy.
Susah,Difficult,Soalan ini susah.,This question is difficult.
Sangat,Very,Sangat sedap.,Very delicious.
Sedikit,A little,Sedikit sahaja.,Just a little.
Jom,Let’s go,Jom pergi.,Let’s go.
Tunggu sekejap,Wait a moment,Tunggu sekejap.,Wait a moment.
Tiada masalah,No problem,Tiada masalah.,No problem.
Nama saya,My name is…,Nama saya Ali.,My name is Ali.
Sedang,In the process of,Saya sedang belajar.,I am studying.
Sudah,Already,Saya sudah makan.,I have eaten already.
Belum,Not yet,Saya belum siap.,I am not ready yet.
Akan,Will (future),Saya akan pergi.,I will go.
Boleh,Can / may,Saya boleh cuba.,I can try.
Tidak boleh,Cannot,Saya tidak boleh masuk.,I cannot enter.
Mesti,Must,Awak mesti datang.,You must come.
Cuba,Try,Cuba lagi.,Try again.
Fikir,Think,Saya fikir dulu.,I will think first.
Kerja,Work,Saya kerja di sini.,I work here.
Belajar,Study / learn,Saya belajar Bahasa Melayu.,I study Malay.
Tinggal,Live / stay,Saya tinggal dekat sini.,I live nearby.
Guna,Use,Guna ini.,Use this.
Beli,Buy,Saya beli makanan.,I buy food.
Jual,Sell,Dia jual kereta.,He sells cars.
Jalan,Walk / road,Saya jalan perlahan.,I walk slowly.
Naik,Go up / take (transport),Saya naik bas.,I take the bus.
Turun,Go down,Turun sini.,Get down here.
Masuk,Enter,Masuk sekarang.,Enter now.
Keluar,Exit,Keluar cepat.,Exit quickly.
Jumpa,Meet,Jumpa esok.,Meet tomorrow.
Tanya,Ask,Saya tanya dia.,I ask him.
Jawab,Answer,Jawab soalan ini.,Answer this question.
Betul,Correct,Ini betul.,This is correct.
Salah,Wrong,Jawapan salah.,The answer is wrong.
Sama,Same,Kita sama.,We are the same.
Lain,Different,Ini lain.,This is different.
Cepat,Fast,Dia cepat.,He is fast.
Perlahan,Slow,Tolong perlahan.,Please slow down.
Sibuk,Busy,Saya sibuk hari ini.,I am busy today.
Kosong,Empty / free,Tempat ini kosong.,This place is empty.
Senyap,Quiet,Tolong senyap.,Please be quiet.
Penat,Tired,Saya penat.,I am tired.
Lapar,Hungry,Saya lapar.,I am hungry.
Dahaga,Thirsty,Saya dahaga.,I am thirsty.
Gembira,Happy,Saya gembira.,I am happy.
Sedih,Sad,Dia sedih.,He is sad.
Marah,Angry,Jangan marah.,Do not be angry.
Takut,Afraid,Saya takut.,I am afraid.
Suka,Like,Saya suka kopi.,I like coffee.
Tidak suka,Dislike,Saya tidak suka hujan.,I dislike rain.
Selalu,Always,Saya selalu datang.,I always come.
Kadang-kadang,Sometimes,Saya kadang-kadang masak.,I sometimes cook.
Jarang,Rarely,Saya jarang keluar.,I rarely go out.
Belok kiri,Turn left,Belok kiri di sana.,Turn left there.
Belok kanan,Turn right,Belok kanan sekarang.,Turn right now.
Terus,Straight,Jalan terus.,Go straight.
Dekat dengan,Near to,Kedai dekat dengan rumah.,The shop is near the house.
Jauh dari,Far from,Sekolah jauh dari sini.,The school is far from here.
Pukul berapa?,What time is it?,Pukul berapa?,What time is it?
Hari,Day,Hari ini sibuk.,Today is busy.
Minggu,Week,Minggu depan cuti.,Next week is a holiday.
Bulan,Month,Bulan ini panas.,This month is hot.
Tahun,Year,Tahun ini baik.,This year is good.
Apa ini?,What is this?,Apa ini?,What is this?
Siapa itu?,Who is that?,Siapa itu?,Who is that?
Saya rasa,I think / feel…,Saya rasa lapar.,I feel hungry.
Boleh saya?,May I…?,Boleh saya masuk?,May I enter?
Tak apa,It’s okay,Tak apa.,It’s okay.
Betul ke?,Really? / Is it true?,Betul ke?,Is it true?
Macam mana?,How? / What about?,Macam mana buat?,How do you do it?
Tak pasti,Not sure,Saya tak pasti.,I am not sure.
Pernah,Ever,Saya pernah pergi sana.,I have been there.
Selalu,Often,Dia selalu lewat.,He is often late.
Biasanya,Usually,Biasanya saya bangun awal.,I usually wake up early.
Hampir,Almost / near,Hampir siap.,Almost finished.
Masih,Still,Saya masih tunggu.,I am still waiting.
Terlalu,Too (excessively),Terlalu panas hari ini.,It is too hot today.
Lebih,More,Saya mahu lebih masa.,I want more time.
Kurang,Less,Air ini kurang manis.,This drink is less sweet.
Paling,Most,Ini paling murah.,This is the cheapest.
Sama dengan,Same as,Ini sama dengan itu.,This is the same as that.
